class,name,latitude,longitude,pole_height
pole,tower1,37.388063971857700,-122.28844288884700,23.0
pole,tower2,37.39170991228090,-122.28138524342800,16.0
pole,tower3,37.391605029396500,-122.27859725674900,23.0
pole,tower4,37.39189776185740,-122.27717370878600,21.0
pole,tower5,37.39248478874900,-122.27445763837300,17.0
pole,tower6,37.393064766804800,-122.27180166237200,21.0
pole,tower7,37.39448377651170,-122.27062538813300,21.0
pole,tower8,37.39860603125620,-122.26756943948800,18.0
pole,tower9,37.3987093390758,-122.26609958926900,15.0
pole,tower10,37.39881734255350,-122.26448590652300,18.0
pole,tower11,37.39927723765630,-122.25794544805700,15.0
pole,tower12,37.39937036342070,-122.25627439962600,22.0
pole,tower13,37.39966304364650,-122.25113326423000,18.0
pole,tower14,37.39986734896870,-122.24926604404600,16.0
pole,tower15,37.401360606833200,-122.24566416822300,22.0
pole,tower16,37.4024888290699,-122.24467711530800,20.0
pole,tower17,37.403388518198100,-122.24428886555300,20.0
pole,tower18,37.40455757305510,-122.24417593344400,20.0
pole,tower19,37.40562303785719,-122.24443024849100,17.0
pole,tower20,37.406444430121600,-122.24502537152200,17.0
pole,tower21,37.407149938388900,-122.24310961753800,15.0
pole,tower22,37.40789338104320,-122.24107380619900,17.0
pole,tower23,37.40912057241350,-122.2377130888810,15.0
pole,tower24,37.40995247538200,-122.23541150437500,16.0
pole,tower25,37.41181238145040,-122.2318401430750,15.0
pole,tower26,37.41211277432230,-122.2294046972870,19.0
pole,tower27,37.41235883992210,-122.22736085402000,18.0
pole,tower28,37.41270503474600,-122.22456062781200,21.0
pole,tower29,37.41297559820370,-122.22232366549100,16.0
pole,tower30,37.413211008919900,-122.22048098789300,18.0
pole,tower31,37.413484766152100,-122.21826816545900,21.0
pole,tower32,37.41369674090810,-122.21656764493800,18.0
pole,tower33,37.41398114830700,-122.21427167402400,20.0
pole,tower34,37.4142229470058,-122.21231366144500,18.0
pole,tower35,37.414454093051700,-122.21044282065400,21.0
pole,tower36,37.414698020593100,-122.20848749028100,20.0
pole,tower37,37.415045141688100,-122.2056472090360,18.0
