"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Large Unusual Load Type","Large Unusual Load Quantity","Large Unusual Load Quantity_notes","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Wifi Enabled","Well Pump Controlled by VSD","VSD Motor Input","VSD Motor Input_notes","VSD Motor Input Units","Notes","Room Name","Room Type"
"Appliance_00022623","BLDG_00232","Room_00015023","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","N/A","Unknown",,"Unknown","Unknown","N/A","Outside_1","Outside"
"Appliance_00007703","SITE_00006","Room_00006442","Large Unusual Load","Unknown",1,,"No",,"Unknown","Unknown","Pro-Form","6008","Unknown","No","N/A",,"N/A","N/A","N/A","Living Room_1","Living Room"
"Appliance_00007699","SITE_00010","Room_00006483","Large Unusual Load","Engine Block Heater",1,,"No",,"Unknown","Unknown","Unknown","Unknown","Unknown","No","N/A",,"N/A","N/A","N/A","Outside_2","Outside"
"Appliance_00007704","SITE_00011","Room_00006498","Large Unusual Load","Water Feature",1,,"No",,"Unknown","Unknown","General Electric","Unknown","Yes","No","N/A",,"N/A","N/A","N/A","Dining Room_1","Dining Room"
"Appliance_00007761","SITE_00015","Room_00006530","Large Unusual Load","Massage Chair",1,,"No",,"Unknown","Unknown","Htt","Unknown","No","No","N/A",,"N/A","N/A","N/A","Family Room_1","Family Room"
"Appliance_00007762","SITE_00015","Room_00006533","Large Unusual Load","Treadmill",1,,"No",,"Unknown","Unknown","NordicTrack","T5.7","No","No","N/A",,"N/A","N/A","N/A","Family Room_2","Family Room"
"Appliance_00007698","SITE_00076","Room_00007135","Large Unusual Load","Air Compressor",1,,"No",,"Unknown","Unknown","Invacare","Home fill- II","No","No","N/A",,"N/A","N/A","Compressor and oxygen concentrator","Bedroom_1","Bedroom"
"Appliance_00007780","SITE_00089","Room_00007236","Large Unusual Load","Keyboard",2,,"No",,"Unknown","Unknown","Native","Komplete Kontrol S61","No","No","N/A",,"N/A","N/A","N/A","Living Room_1","Living Room"
"Appliance_00007779","SITE_00117","Room_00007446","Large Unusual Load","Workout Machine",1,,"No",,"Unknown","Unknown","Unknown","Unknown","No","No","N/A",,"N/A","N/A","N/A","Bedroom_1","Bedroom"
"Appliance_00007705","SITE_00138","Room_00007641","Large Unusual Load","Water Heater Pump",1,,"No",,"Unknown","Unknown","Watts","500800","Unknown","No","N/A",,"N/A","N/A","N/A","Kitchen_1","Kitchen"
"Appliance_00022628","SITE_00139","Room_00007669","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","N/A","Unknown",,"Unknown","Unknown","N/A","Outside_2","Outside"
"Appliance_00007778","SITE_00142","Room_00007699","Large Unusual Load","Kiln (Electric)",1,,"No",,"Unknown","Unknown","Siter","LT-3K","No","No","N/A",,"N/A","N/A","N/A","Laundry_2","Laundry"
"Appliance_00007706","SITE_00149","Room_00007814","Large Unusual Load","Cooling Unit For Wine Room",1,,"No",,"Unknown","08I12585","Wine Guardian","24S025","No","No","N/A",,"N/A","N/A","N/A","Closet_2","Closet"
"Appliance_00007695","SITE_00154","Room_00007873","Large Unusual Load","Elliptical Machine",1,,"No",,"Unknown","Unknown","Pro-Form","Unknown","No","No","N/A",,"N/A","N/A","N/A","Other_2","Other"
"Appliance_00022626","SITE_00159","Room_00007933","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Unknown","Unknown","No","N/A","Yes",2.40000,,"kW","Max input 10.4A 230V","Outside_2","Outside"
"Appliance_00007697","SITE_00172","Room_00008126","Large Unusual Load","Freshwater Pump (I.E. House Supply)",1,,"No",,"Unknown","405-17515-87101","Proflo","PF81","No","No","N/A",,"N/A","N/A","N/A","Garage_1","Garage"
"Appliance_00007801","SITE_00181","Room_00025551","Large Unusual Load","Space Heater",1,,"No",,"Unknown","Unknown","Florida Heat pump","CZ442WM","No","No","N/A",,"N/A","N/A","N/A","Bedroom_1","Bedroom"
"Appliance_00007802","SITE_00182","Room_00025563","Large Unusual Load","Oil Filled Radiator",1,,"No",,"Unknown","Unknown","DeLonghi","tRD0715L","No","No","N/A",,"N/A","N/A","N/A","Bathroom_2","Bathroom"
"Appliance_00007803","SITE_00189","Room_00025644","Large Unusual Load","Salon",1,,"No",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A",,"N/A","N/A","Home has salon in refurbished single car garage space","Other_1","Other"
"Appliance_00007765","SITE_00201","Room_00008308","Large Unusual Load","Elliptical Machine",1,,"No",,"Unknown","Unknown","TRIMLINE","Unknown","No","No","N/A",,"N/A","N/A","N/A","Bedroom_6","Bedroom"
"Appliance_00007767","SITE_00219","Room_00008497","Large Unusual Load","Trash Compactor",1,,"Yes",2010,,"Unknown","General Electric","Gcg1580r0ss","No","No","N/A",,"N/A","N/A","N/A","Kitchen_1","Kitchen"
"Appliance_00007768","SITE_00219","Room_00008503","Large Unusual Load","Projector",1,,"No",,"Unknown","Unknown","Panasonic","Unknown","No","No","N/A",,"N/A","N/A","Could not access nameplate, homeowner estimated use around 2-3 hours/day","Family Room_1","Family Room"
"Appliance_00007769","SITE_00219","Room_00008505","Large Unusual Load","Water Feature",1,,"No",,"Unknown","Unknown","Unknown","Unknown","No","No","N/A",,"N/A","N/A","Includes 3 small led lights","Hall_1","Hall"
"Appliance_00007771","SITE_00220","Room_00008533","Large Unusual Load","Treadmill",1,,"No",,"Unknown","Unknown","NordicTrack","C900","No","Yes","N/A",,"N/A","N/A","N/A","Mechanical_2","Mechanical"
"Appliance_00007799","SITE_00223","Room_00008561","Large Unusual Load","Pool Pump",1,,"No",,"Unknown","Unknown","Unknown","Unknown","Unknown","No","N/A",,"N/A","N/A","N/A","Outside_2","Outside"
"Appliance_00007531","SITE_00234","Room_00000046","Large Unusual Load","Air Purifier",1,,"No",,"Unknown","Unknown","Holmes","HAP9243","Unknown","No","N/A",,"N/A","N/A","Air filter","Bedroom_6","Bedroom"
"Appliance_00007532","SITE_00236","Room_00000091","Large Unusual Load","Unknown",1,,"No",,"Unknown","Unknown","Unknown","WASH IT","Unknown","No","N/A",,"N/A","N/A","Water softener","Mechanical_1","Mechanical"
"Appliance_00007533","SITE_00236","Room_00000086","Large Unusual Load","Water Softener",1,,"No",,"Unknown","VD161052B","General Electric","GXSF30V 00","Unknown","No","N/A",,"N/A","N/A","N/A","Garage_1","Garage"
"Appliance_00007534","SITE_00240","Room_00000139","Large Unusual Load","Air Purifier",1,,"No",,"Unknown","Unknown","Honeywell","Unknown","No","No","N/A",,"N/A","N/A","N/A","Kitchen_1","Kitchen"
"Appliance_00007535","SITE_00246","Room_00000222","Large Unusual Load","Massage Chair",1,,"No",,"Unknown","Unknown","Legacy","Dwa-9100","No","No","N/A",,"N/A","N/A","N/A","Bedroom_1","Bedroom"
"Appliance_00007536","SITE_00246","Room_00000226","Large Unusual Load","Electric Organ",1,,"No",,"Unknown","Unknown","Unknown","Mac-1500","No","No","N/A",,"N/A","N/A","N/A","Dining Room_1","Dining Room"
"Appliance_00007537","SITE_00248","Room_00000256","Large Unusual Load","Tanning Bed",1,,"No",,"Unknown","Unknown","Tansyou","TY-16","No","No","N/A",,"N/A","N/A","N/A","Bedroom_2","Bedroom"
"Appliance_00007538","SITE_00259","Room_00000402","Large Unusual Load","Freshwater Pump (I.E. House Supply)",1,,"No",,"Unknown","Unknown","Unknown","Unknown","Unknown","No","N/A",,"N/A","N/A","No info anywhere.","Family Room_1","Family Room"
"Appliance_00007539","SITE_00259","Room_00000405","Large Unusual Load","Portable Cooling Fan",1,,"No",,"Unknown","204CYRNO2702","LG","Lp1311bxr","Unknown","No","N/A",,"N/A","N/A","N/A","Living Room_1","Living Room"
"Appliance_00007540","SITE_00263","Room_00000477","Large Unusual Load","House Vacuum",1,,"No",,"Unknown","006211","Electrolux","A","Unknown","No","N/A",,"N/A","N/A","N/A","Mechanical_1","Mechanical"
"Appliance_00007541","SITE_00264","Room_00000489","Large Unusual Load","Aquarium",1,,"No",,"Unknown","Unknown","Aqueon","Unknown","Unknown","No","N/A",,"N/A","N/A","N/A","Family Room_1","Family Room"
"Appliance_00022589","SITE_00265","Room_00000504","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",1.50000,,"HP","Submersible pump in well 1.5 horsepower","Garage_1","Garage"
"Appliance_00007542","SITE_00275","Room_00000637","Large Unusual Load","Portable Cooling Fan",1,,"No",,"Unknown","Unknown","Lasko","Unknown","No","No","N/A",,"N/A","N/A","N/A","Other_1","Other"
"Appliance_00007772","SITE_00301","Room_00008789","Large Unusual Load","Exercise Equipment",1,,"No",,"Unknown","Unknown","Fuel","FE44","No","No","N/A",,"N/A","N/A","N/A","Bedroom_2","Bedroom"
"Appliance_00007543","SITE_00338","Room_00001021","Large Unusual Load","Freshwater Pump (I.E. House Supply)",1,,"No",,"Unknown","Unknown","Kinetico","Unknown","Unknown","No","N/A",,"N/A","N/A","N/A","Mechanical_1","Mechanical"
"Appliance_00007544","SITE_00345","Room_00001131","Large Unusual Load","Water Softener",1,,"No",,"Unknown","L268145069531","Autotrol","268/860","No","No","N/A",,"N/A","N/A","N/A","Garage_2","Garage"
"Appliance_00007545","SITE_00347","Room_00001154","Large Unusual Load","Aquarium",1,,"No",,"Unknown","Unknown","Unknown","Unknown","Unknown","No","N/A",,"N/A","N/A","N/A","Family Room_1","Family Room"
"Appliance_00022590","SITE_00347","Room_00001158","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","N/A","Unknown",,"Unknown","Unknown","Irrigation only! Can't find data plate for horsepower or Gpm","Outside_2","Outside"
"Appliance_00007546","SITE_00349","Room_00001195","Large Unusual Load","Freshwater Pump (I.E. House Supply)",1,,"No",,"Unknown","Unknown","Unknown","Unknown","Unknown","No","N/A",,"N/A","N/A","N/A","Other_1","Other"
"Appliance_00007547","SITE_00354","Room_00001278","Large Unusual Load","Hot Tub",1,,"No",,"Unknown","Unknown","Unknown","Unknown","Unknown","No","N/A",,"N/A","N/A","N/A","Outside_2","Outside"
"Appliance_00007548","SITE_00354","Room_00001278","Large Unusual Load","Water Feature",1,,"No",,"Unknown","Unknown","Unknown","Unknown","Unknown","No","N/A",,"N/A","N/A","The runs almost year round","Outside_2","Outside"
"Appliance_00007549","SITE_00358","Room_00001329","Large Unusual Load","Ion Generating System",1,,"No",,"Unknown","Unknown","Yamazen","Unknown","Unknown","No","N/A",,"N/A","N/A","N/A","Living Room_1","Living Room"
"Appliance_00007550","SITE_00360","Room_00001359","Large Unusual Load","Food Dehydrator",1,,"No",,"Unknown","Unknown","Excalibur","Unknown","Unknown","No","N/A",,"N/A","N/A","N/A","Kitchen_1","Kitchen"
"Appliance_00007551","SITE_00362","Room_00001387","Large Unusual Load","Kiln (Electric)",1,,"No",,"Unknown","8206","Cress","Fx-23-b","No","No","N/A",,"N/A","N/A","N/A","Garage_1","Garage"
"Appliance_00007552","SITE_00362","Room_00001387","Large Unusual Load","Kiln (Electric)",1,,"No",,"Unknown","MO7187","Duncan","Es122","Unknown","No","N/A",,"N/A","N/A","N/A","Garage_1","Garage"
"Appliance_00007553","SITE_00362","Room_00001387","Large Unusual Load","Kiln (Electric)",1,,"No",,"Unknown","274300","Paragon","011p","Unknown","No","N/A",,"N/A","N/A","N/A","Garage_1","Garage"
"Appliance_00007554","SITE_00362","Room_00001387","Large Unusual Load","Air Compressor",1,,"Unknown",,"Unknown","Unknown","Powermate","C65c600v1b103","No","No","N/A",,"N/A","N/A","N/A","Garage_1","Garage"
"Appliance_00007555","SITE_00362","Room_00001393","Large Unusual Load","Water Softener",1,,"No",,"Unknown","Unknown","Kenmore","Unknown","Unknown","No","N/A",,"N/A","N/A","N/A","Mechanical_2","Mechanical"
"Appliance_00007556","SITE_00372","Room_00001550","Large Unusual Load","Treadmill",2,,"No",,"Unknown","Unknown","Sole","Unknown","No","No","N/A",,"N/A","N/A","N/A","Family Room_2","Family Room"
"Appliance_00007557","SITE_00373","Room_00001564","Large Unusual Load","Tanning Bed",1,,"No",,"Unknown","Unknown","Sunrite","Bonor90-126-447/450n 7275","No","No","N/A",,"N/A","N/A","N/A","Bedroom_1","Bedroom"
"Appliance_00007558","SITE_00375","Room_00001601","Large Unusual Load","Woodshop Stationary Tools",4,,"No",,"Unknown","Unknown","Unknown","Unknown","No","No","N/A",,"N/A","N/A","Woodshop","Other_1","Other"
"Appliance_00007559","SITE_00377","Room_00001617","Large Unusual Load","Mobility Scooter",2,,"No",,"Unknown","Unknown","Unknown","Unknown","Unknown","No","N/A",,"N/A","N/A","N/A","Bedroom_1","Bedroom"
"Appliance_00007560","SITE_00383","Room_00001716","Large Unusual Load","Cleaning Robot",1,,"No",,"Unknown","Unknown","iRobot","Unknown","Unknown","Unknown","N/A",,"N/A","N/A","N/A","Family Room_1","Family Room"
"Appliance_00007561","SITE_00384","Room_00001733","Large Unusual Load","Unknown",1,,"No",,"Unknown","Unknown","Calligan","Unknown","No","No","N/A",,"N/A","N/A","Water softener","Laundry_2","Laundry"
"Appliance_00007562","SITE_00388","Room_00001786","Large Unusual Load","Portable Heating",1,,"No",,"Unknown","Unknown","Lasko","760000","Unknown","No","N/A",,"N/A","N/A","N/A","Bedroom_2","Bedroom"
"Appliance_00022651","SITE_00404","Room_00009269","Well Pump","N/A",,"N/A","No",,"Unknown","H0727710","Unknown","Unknown","No","N/A","Yes",1.50000,,"HP","N/A","Outside_2","Outside"
"Appliance_00007766","SITE_00405","Room_00009286","Large Unusual Load","Workout Machine",1,,"No",,"Unknown","Unknown","NordicTrack","Unknown","No","No","N/A",,"N/A","N/A","N/A","Bedroom_1","Bedroom"
"Appliance_00022649","SITE_00406","Room_00009304","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",,"Unknown","Unknown","2 hp","Outside_2","Outside"
"Appliance_00007770","SITE_00418","Room_00009482","Large Unusual Load","Air Compressor",1,,"Yes",1981,,"Unknown","Melben Products","MPCO Mfgrs. No 1067640","Unknown","No","N/A",,"N/A","N/A","N/A","Outside_2","Outside"
"Appliance_00022656","SITE_00425","Room_00009571","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Grundfos","10530-34","Unknown","N/A","Unknown",,"Unknown","Unknown","N/A","Other_2","Other"
"Appliance_00007753","SITE_00450","Room_00009818","Large Unusual Load","Laundry Centrifuge",1,,"No",,"Unknown","60.0018.041.16.01.002275","The laundry alternative","Ipx4","No","No","N/A",,"N/A","N/A","N/A","Bathroom_7","Bathroom"
"Appliance_00007773","SITE_00493","Room_00010265","Large Unusual Load","Pool Pump",1,,"No",,"Unknown","Unknown","Krystal Clear","635T","Unknown","No","N/A",,"N/A","N/A","N/A","Outside_2","Outside"
"Appliance_00022645","SITE_00502","Room_00010402","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Franklin Electric","FP3332-02","No","N/A","No",1.00000,,"HP","N/A","Outside_2","Outside"
"Appliance_00022819","SITE_00509","Room_00010515","Large Unusual Load","Unknown",1,,"No",,"Unknown","Unknown","Unknown","Unknown","Unknown","Yes","N/A",,"N/A","N/A","network storage system","Bedroom_1","Bedroom"
"Appliance_00022629","SITE_00511","Room_00010547","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","N/A","Unknown",,"Unknown","Unknown","N/A","Outside_2","Outside"
"Appliance_00007707","SITE_00530","Room_00010747","Large Unusual Load","Garage Tools",4,,"No",,"Unknown","Unknown","Unknown","Unknown","Unknown","No","N/A",,"N/A","N/A","Not things that are really plugged in, but there's a compressor an electric welder a hydraulic car lift, many metal working tools","Garage_2","Garage"
"Appliance_00007708","SITE_00535","Room_00010815","Large Unusual Load","Pressurization Tank",1,,"No",,"Unknown","Unknown","Well Mate","WM-12","Unknown","No","N/A",,"N/A","N/A","N/A","Outside_2","Outside"
"Appliance_00022630","SITE_00535","Room_00010815","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Pentair","SNC-L","Unknown","N/A","No",0.50000,,"HP","N/A","Outside_2","Outside"
"Appliance_00022631","SITE_00540","Room_00010897","Well Pump","N/A",,"N/A","Yes",2008,,"N/A","Well-x-trol","Wx255","No","N/A","No",,"Unknown","Unknown","N/A","Laundry_2","Laundry"
"Appliance_00007709","SITE_00541","Room_00010899","Large Unusual Load","Irrigation Pump",1,,"No",,"Unknown","Unknown","General Electric","Unknown","No","No","N/A",,"N/A","N/A","N/A","Kitchen_1","Kitchen"
"Appliance_00022632","SITE_00544","Room_00010960","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","N/A","Unknown",,"Unknown","Unknown","Well pump is submersed cannot see your name plate.","Outside_2","Outside"
"Appliance_00007710","SITE_00554","Room_00011086","Large Unusual Load","Sauna",1,,"No",,"Unknown","Unknown","Sunlight Sauna","Ra","Unknown","No","N/A",,"N/A","N/A","N/A","Garage_2","Garage"
"Appliance_00022633","SITE_00555","Room_00011100","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Goulds Pumps","2343159204","Unknown","N/A","No",,"Unknown","Unknown","N/A","Mechanical_1","Mechanical"
"Appliance_00022634","SITE_00566","Room_00011254","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Flotec","Fp4022-10","No","N/A","No",0.75000,,"HP","Well pump and softenerCistern with sustem","Mechanical_2","Mechanical"
"Appliance_00007711","SITE_00569","Room_00011320","Large Unusual Load","Central Vac",1,,"No",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A",,"N/A","N/A","Central vacuum","Garage_2","Garage"
"Appliance_00007735","SITE_00570","Room_00011328","Large Unusual Load","Treadmill",1,,"No",,"Unknown","Unknown","NordicTrack","Unknown","No","No","N/A",,"N/A","N/A","N/A","Other_2","Other"
"Appliance_00007737","SITE_00577","Room_00011450","Large Unusual Load","Treadmill",1,,"No",,"Unknown","Unknown","Sole","F80","Unknown","No","N/A",,"N/A","N/A","N/A","Basement_1","Basement"
"Appliance_00007738","SITE_00577","Room_00011450","Large Unusual Load","Workout",1,,"No",,"Unknown","Unknown","NordicTrack","E5.5","Unknown","No","N/A",,"N/A","N/A","N/A","Basement_1","Basement"
"Appliance_00022635","SITE_00578","Room_00011469","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","N/A","Unknown",,"Unknown","Unknown","Pump not accessible","Outside_2","Outside"
"Appliance_00007712","SITE_00598","Room_00011712","Large Unusual Load","Water Feature",1,,"No",,"Unknown","Unknown","Unknown","Unknown","No","No","N/A",,"N/A","N/A","One 20 gallon heated/filtered fish tank","Family Room_1","Family Room"
"Appliance_00007743","SITE_00612","Room_00011889","Large Unusual Load","Irrigation Pump",1,,"No",,"Unknown","21912J2","Century","7-193800-01","No","No","N/A",,"N/A","N/A","N/A","Outside_2","Outside"
"Appliance_00007744","SITE_00612","Room_00011900","Large Unusual Load","Respirator Assist",1,,"No",,"Unknown","0316498","Everflo","1020000","Unknown","No","N/A",,"N/A","N/A","N/A","Bedroom_1","Bedroom"
"Appliance_00007739","SITE_00616","Room_00011961","Large Unusual Load","Pool Pump",1,,"No",,"Unknown","06711FM","Hayward","C48d43a04","Unknown","No","N/A",,"N/A","N/A","N/A","Other_2","Other"
"Appliance_00007740","SITE_00616","Room_00011961","Large Unusual Load","Heated Pool",1,,"Yes",2008,,"Unknown","Aic","08g466001","Unknown","No","N/A",,"N/A","N/A","N/A","Other_2","Other"
"Appliance_00022642","SITE_00618","Room_00011985","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Well-x-trol","Wx-252","No","N/A","No",,"Unknown","Unknown","N/A","Outside_2","Outside"
"Appliance_00007733","SITE_00622","Room_00012040","Large Unusual Load","Sauna",1,,"No",,"Unknown","Unknown","Harvia","KV-45-1","Unknown","No","N/A",,"N/A","N/A","4.5kw","Bathroom_2","Bathroom"
"Appliance_00007736","SITE_00624","Room_00012072","Large Unusual Load","Treadmill",1,,"No",,"Unknown","Unknown","NordicTrack","T6.5S","No","No","N/A",,"N/A","N/A","N/A","Bedroom_2","Bedroom"
"Appliance_00007741","SITE_00632","Room_00012155","Large Unusual Load","Water Feature",1,,"No",,"Unknown","Unknown","Unknown","Unknown","No","No","N/A",,"N/A","N/A","N/A","Outside_2","Outside"
"Appliance_00007734","SITE_00637","Room_00012211","Large Unusual Load","Sump Pump",1,,"No",,"Unknown","Unknown","Unknown","Unknown","No","No","N/A",,"N/A","N/A","N/A","Basement_2","Basement"
"Appliance_00007713","SITE_00638","Room_00012234","Large Unusual Load","Oxygen Machine",1,,"No",,"Unknown","Unknown","Unknown","Unknown","No","No","N/A",,"N/A","N/A","Supplies oxygen for occupant","Bedroom_1","Bedroom"
"Appliance_00007714","SITE_00693","Room_00012840","Large Unusual Load","Workout",1,,"No",,"Unknown","Unknown","Schwin","920elite","Unknown","No","N/A",,"N/A","N/A","N/A","Office_1","Office"
"Appliance_00007751","SITE_00696","Room_00012890","Large Unusual Load","Workout",1,,"No",,"Unknown","Unknown","Sole","Unknown","No","No","N/A",,"N/A","N/A","N/A","Basement_1","Basement"
"Appliance_00007758","SITE_00703","Room_00012979","Large Unusual Load","Water Softener",1,,"No",,"Unknown","Unknown","easywater","3500","Unknown","No","N/A",,"N/A","N/A","N/A","Mechanical_2","Mechanical"
"Appliance_00007759","SITE_00703","Room_00012979","Large Unusual Load","Hot Water Circ Pump",1,,"No",,"Unknown","Unknown","taco","003-bc4-php","Unknown","No","N/A",,"N/A","N/A","N/A","Mechanical_2","Mechanical"
"Appliance_00007754","SITE_00704","Room_00012983","Large Unusual Load","Water Feature",4,,"No",,"Unknown","Unknown","Unknown","Unknown","Unknown","No","N/A",,"N/A","N/A","N/A","Outside_2","Outside"
"Appliance_00022647","SITE_00707","Room_00013041","Well Pump","N/A",,"N/A","Yes",2006,,"N/A","Franklin Electric","5870203380D","No","N/A","Yes",1.50000,,"HP","Just controller, no access to actual pump","Mechanical_2","Mechanical"
"Appliance_00022648","SITE_00710","Room_00013075","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",,"Unknown","Unknown","No access","Outside_2","Outside"
"Appliance_00022646","SITE_00711","Room_00013120","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","N/A","Unknown",,"Unknown","Unknown","Well pump inaccessible and pump details buried and also inaccessible, according to owner","Outside_2","Outside"
"Appliance_00022644","SITE_00724","Room_00013285","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Pentair","011018","Yes","N/A","Yes",3.00000,,"HP","3 hpIntelliflowX2 pumps","Outside_2","Outside"
"Appliance_00007752","SITE_00736","Room_00013491","Large Unusual Load","Hot Water Circ Pump",1,,"No",,"Unknown","Unknown","Unknown","Unknown","Unknown","No","N/A",,"N/A","N/A","N/A","Garage_2","Garage"
"Appliance_00007800","SITE_00739","Room_00013524","Large Unusual Load","Air Compressor",1,,"No",,"Unknown","Unknown","Sears","919.165250","No","No","N/A",,"N/A","N/A","5 hp","Garage_2","Garage"
"Appliance_00007757","SITE_00741","Room_00013571","Large Unusual Load","Pool Pump",1,,"No",,"Unknown","7C98","Hayward","C48J2N131B3","Unknown","No","N/A",,"N/A","N/A","N/A","Other_2","Other"
"Appliance_00007746","SITE_00756","Room_00013772","Large Unusual Load","Towel Heater",2,,"No",,"Unknown","Unknown","Warmrails","Sw480","No","No","N/A",,"N/A","N/A","N/A","Laundry_1","Laundry"
"Appliance_00007747","SITE_00756","Room_00013776","Large Unusual Load","Towel Heater",1,,"Yes",2006,,"Unknown","Warmrails","Unknown","No","No","N/A",,"N/A","N/A","N/A","Bathroom_2","Bathroom"
"Appliance_00007748","SITE_00756","Room_00013778","Large Unusual Load","Towel Heater",1,,"Yes",2006,,"Unknown","Warmrails","226525","No","No","N/A",,"N/A","N/A","N/A","Bathroom_3","Bathroom"
"Appliance_00007749","SITE_00756","Room_00013781","Large Unusual Load","Towel Heater",1,,"No",,"Unknown","Unknown","Warmrails","Unknown","No","No","N/A",,"N/A","N/A","N/A","Bedroom_3","Bedroom"
"Appliance_00007745","SITE_00763","Room_00013921","Large Unusual Load","Pop Dispenser",1,,"No",,"Unknown","Unknown","Unknown","Unknown","No","No","N/A",,"N/A","N/A","Hooked up about 50% of the time.","Garage_1","Garage"
"Appliance_00007755","SITE_00773","Room_00014057","Large Unusual Load","Kiln (Electric)",1,,"No",,"Unknown","041408-C-LAG","LL Kilns","X3236-d","Unknown","No","N/A",,"N/A","N/A","N/A","Garage_2","Garage"
"Appliance_00007750","SITE_00781","Room_00014191","Large Unusual Load","Workout",1,,"No",,"Unknown","Unknown","Pro-Form","545s","No","No","N/A",,"N/A","N/A","Never used","Hall_1","Hall"
