"PK_Mechanical_ID","CK_SiteID","System Type","Ventilation Controls","Ventilation Use","Ventilation Use_notes","Ventilation Use Units"
"Mechanical_00011726","SITE_00703","Whole House Fan","Timer",,"Unknown","Times per week, in the summer"
"Mechanical_00011727","SITE_00710","Whole House Fan","Manual Switch",1.0000,,"Times per week, in the summer"
"Mechanical_00011728","SITE_00784","Whole House Fan","Timer",,"Unknown","Times per week, in the summer"
"Mechanical_00011729","SITE_01217","Whole House Fan","Manual Switch",5.0000,,"Times per week, in the summer"
"Mechanical_00011730","SITE_00823","Whole House Fan","Continuous",100.0000,,"Times per week, in the summer"
"Mechanical_00011731","SITE_00403","Whole House Fan","Variable Speed",7.0000,,"Times per week, in the summer"
"Mechanical_00011732","SITE_00301","Whole House Fan","Timer",7.0000,,"Times per week, in the summer"
"Mechanical_00011733","SITE_02056","Whole House Fan","Manual Switch",0.0000,,"Times per week, in the summer"
"Mechanical_00011734","SITE_00316","Whole House Fan","Variable Speed",0.0000,,"Times per week, in the summer"
"Mechanical_00011735","SITE_01357","Whole House Fan","Continuous",,"Continuous","Times per week, in the summer"
"Mechanical_00011736","SITE_00200","Whole House Fan","Variable Speed",0.0000,,"Times per week, in the summer"
"Mechanical_00011685","SITE_00233","Whole House Fan","Manual Switch",0.0000,,"Times per week, in the summer"
"Mechanical_00011686","SITE_00233","Whole House Fan","Manual Switch",0.0000,,"Times per week, in the summer"
"Mechanical_00011687","SITE_00234","Whole House Fan","Manual Switch",3.0000,,"Times per week, in the summer"
"Mechanical_00011688","SITE_00237","Whole House Fan","Manual Switch",0.0000,,"Times per week, in the summer"
"Mechanical_00011689","SITE_00240","Whole House Fan","Manual Switch",0.0000,,"Times per week, in the summer"
"Mechanical_00011690","SITE_00871","Whole House Fan","Manual Switch",5.0000,,"Times per week, in the summer"
"Mechanical_00011691","SITE_00876","Whole House Fan","Unknown",0.0000,,"Times per week, in the summer"
"Mechanical_00011692","SITE_00878","Whole House Fan","Unknown",0.0000,,"Times per week, in the summer"
"Mechanical_00011693","SITE_00890","Whole House Fan","Unknown",0.0000,,"Times per week, in the summer"
"Mechanical_00011694","SITE_00891","Whole House Fan","Manual Switch",7.0000,,"Times per week, in the summer"
"Mechanical_00011695","SITE_00899","Whole House Fan","Continuous",7.0000,,"Times per week, in the summer"
"Mechanical_00011696","SITE_00913","Whole House Fan","Manual Switch",1.0000,,"Times per week, in the summer"
"Mechanical_00011697","SITE_00936","Whole House Fan","Unknown",7.0000,,"Times per week, in the summer"
"Mechanical_00011698","SITE_01461","Whole House Fan","Timer",0.2500,,"Times per week, in the summer"
"Mechanical_00011699","SITE_01492","Whole House Fan","Humidity Control Switch",7.0000,,"Times per week, in the summer"
"Mechanical_00011700","SITE_01917","Whole House Fan","Continuous",100.0000,,"Times per week, in the summer"
"Mechanical_00011701","SITE_01727","Whole House Fan","Manual Switch",7.0000,,"Times per week, in the summer"
"Mechanical_00011702","SITE_01099","Whole House Fan","Timer",14.0000,,"Times per week, in the summer"
"Mechanical_00011703","SITE_01736","Whole House Fan","Variable Speed",0.5000,,"Times per week, in the summer"
"Mechanical_00011704","SITE_01715","Whole House Fan","Manual Switch",2.0000,,"Times per week, in the summer"
"Mechanical_00011705","SITE_01726","Whole House Fan","Manual Switch",2.0000,,"Times per week, in the summer"
"Mechanical_00011706","SITE_02067","Whole House Fan","Manual Switch",7.0000,,"Times per week, in the summer"
"Mechanical_00011707","SITE_02067","Whole House Fan","Manual Switch",24.0000,,"Times per week, in the summer"
"Mechanical_00011708","SITE_01071","Whole House Fan","Manual Switch",3.0000,,"Times per week, in the summer"
"Mechanical_00011709","SITE_01621","Whole House Fan","Unknown",0.0000,,"Times per week, in the summer"
"Mechanical_00011710","SITE_01621","Whole House Fan","Timer",1.0000,,"Times per week, in the summer"
"Mechanical_00011711","SITE_00172","Whole House Fan","Timer",0.0000,,"Times per week, in the summer"
"Mechanical_00011712","SITE_01216","Whole House Fan","Timer",7.0000,,"Times per week, in the summer"
"Mechanical_00011713","SITE_01929","Whole House Fan","Timer",0.0000,,"Times per week, in the summer"
"Mechanical_00011714","SITE_01999","Whole House Fan","Timer",1.0000,,"Times per week, in the summer"
"Mechanical_00011715","SITE_00163","Whole House Fan","Manual Switch",,"Unknown","Times per week, in the summer"
"Mechanical_00011716","SITE_00548","Whole House Fan","Manual Switch",7.0000,,"Times per week, in the summer"
"Mechanical_00011717","SITE_00566","Whole House Fan","Manual Switch",0.0000,,"Times per week, in the summer"
"Mechanical_00011718","SITE_00693","Whole House Fan","Manual Switch",2.0000,,"Times per week, in the summer"
"Mechanical_00011719","SITE_01852","Whole House Fan","Timer",365.0000,,"Times per week, in the summer"
"Mechanical_00011720","SITE_01947","Whole House Fan","Timer",7.0000,,"Times per week, in the summer"
"Mechanical_00011721","SITE_01971","Whole House Fan","Timer",120.0000,,"Times per week, in the summer"
"Mechanical_00011722","SITE_02025","Whole House Fan","Unknown",,"Unknown","Times per week, in the summer"
"Mechanical_00011723","SITE_00632","Whole House Fan","Continuous",,"Continuous","Times per week, in the summer"
"Mechanical_00011724","SITE_00756","Whole House Fan","Timer",0.0000,,"Times per week, in the summer"
"Mechanical_00011725","SITE_00713","Whole House Fan","Manual Switch",0.0000,,"Times per week, in the summer"
