"PK_Mechanical_ID","CK_SiteID","System Type","Ventilation Type","Ventilation Make","Ventilation Model","Ventilation Working","Ventilation Controls","Ventilation Use","Ventilation Use_Notes","Ventilation Use Units"
"Mechanical_00006188","SITE_00371","ERV/HRV","Stand-alone ducts","Enermatrix","Unknown","Yes","Manual Switch",1.0000,,"Hours per day"
"Mechanical_00006189","SITE_00960","ERV/HRV","Attached to duct system","vanEE","R200","Yes","Manual Switch",0.5000,,"Hours per day"
"Mechanical_00006190","SITE_01012","ERV/HRV","Attached to duct system","Conservative Energy Systems","1000/VLD IGLU","Yes","Timer",12.0000,,"Hours per day"
"Mechanical_00006191","SITE_01038","ERV/HRV","Attached to duct system","vanEE","2000/LD JCLU","Yes","Timer",2.0000,,"Hours per day"
"Mechanical_00006192","SITE_01435","ERV/HRV","Unknown","Unknown","Unknown","Unknown","Unknown",,"Unknown","Hours per day"
"Mechanical_00006193","SITE_01910","ERV/HRV","Stand-alone ducts","Airxchange","502","Unknown","Timer",0.0000,,"Hours per day"
"Mechanical_00006194","SITE_00548","ERV/HRV","Attached to duct system","Venmar","He 1.3","Yes","Continuous",24.0000,,"Hours per day"
"Mechanical_00006195","SITE_00556","ERV/HRV","Attached to duct system","Venmar","41504","Yes","Variable Speed",24.0000,,"Hours per day"
"Mechanical_00006196","SITE_01964","ERV/HRV","Attached to duct system","Unknown","Unknown","Yes","Continuous",24.0000,,"Hours per day"
"Mechanical_00006197","SITE_01978","ERV/HRV","Attached to duct system","Broan","Gseh3k","Yes","Unknown",24.0000,,"Hours per day"
"Mechanical_00006198","SITE_00551","ERV/HRV","Attached to duct system","Ultimate Air","200DX","Yes","Variable Speed",24.0000,,"Hours per day"
"Mechanical_00006199","SITE_00635","ERV/HRV","Attached to duct system","Venmar","Hepa3000","Yes","Manual Switch",24.0000,,"Hours per day"
"Mechanical_00006200","SITE_01337","ERV/HRV","Stand-alone ducts","Venmar","44502","Yes","Timer",8.0000,,"Hours per day"
"Mechanical_00006201","SITE_00856","ERV/HRV","Attached to duct system","Standex","ERV300DC","Yes","Continuous",,"Unknown","Hours per day"
