building_type,value,count,mean,std,gmean,gstd,min,median,max
FullServiceRestaurant,floor_area,1,686.9,0,686.9,0,686.9,686.9,686.9
MediumOffice,floor_area,6,870,348.2,781.5,1.777,258.5,971.6,1232
MidriseApartment,floor_area,159,282.7,194.5,237.8,1.771,40.55,224.8,1308
Outpatient,floor_area,1,1137,0,1137,0,1137,1137,1137
PrimarySchool,floor_area,1,1914,0,1914,0,1914,1914,1914
QuickServiceRestaurant,floor_area,1,286.7,0,286.7,0,286.7,286.7,286.7
RetailStandalone,floor_area,2,840.1,58.82,839,1.073,798.5,840.1,881.7
RetailStripmall,floor_area,1,761.3,0,761.3,0,761.3,761.3,761.3
SmallHotel,floor_area,1,623.2,0,623.2,0,623.2,623.2,623.2
SmallOffice,floor_area,5,462.1,184.7,427.3,1.591,222.1,543,632.4
Warehouse,floor_area,2,3025,1258,2891,1.535,2135,3025,3915
FullServiceRestaurant,UA,1,1703,0,1703,0,1703,1703,1703
MediumOffice,UA,6,5798,3471,4394,2.584,934.4,7320,9263
MidriseApartment,UA,159,780.8,492.6,668.5,1.727,169.5,624.4,3639
Outpatient,UA,1,7269,0,7269,0,7269,7269,7269
PrimarySchool,UA,1,1.206e+04,0,1.206e+04,0,1.206e+04,1.206e+04,1.206e+04
QuickServiceRestaurant,UA,1,1273,0,1273,0,1273,1273,1273
RetailStandalone,UA,2,1792,374.2,1772,1.234,1527,1792,2057
RetailStripmall,UA,1,1055,0,1055,0,1055,1055,1055
SmallHotel,UA,1,5071,0,5071,0,5071,5071,5071
SmallOffice,UA,5,3097,1096,2921,1.489,1640,3346,4203
Warehouse,UA,2,6195,3349,5724,1.768,3826,6195,8563
FullServiceRestaurant,CM,1,2.418e+08,0,2.418e+08,0,2.418e+08,2.418e+08,2.418e+08
MediumOffice,CM,6,2.218e+08,1.138e+08,1.875e+08,2.016,6.592e+07,2.711e+08,3.269e+08
MidriseApartment,CM,159,2.18e+07,1.442e+07,1.891e+07,1.646,6.257e+06,1.708e+07,9.528e+07
Outpatient,CM,1,4.799e+08,0,4.799e+08,0,4.799e+08,4.799e+08,4.799e+08
PrimarySchool,CM,1,4.454e+08,0,4.454e+08,0,4.454e+08,4.454e+08,4.454e+08
QuickServiceRestaurant,CM,1,2.284e+08,0,2.284e+08,0,2.284e+08,2.284e+08,2.284e+08
RetailStandalone,CM,2,2.955e+08,1.612e+07,2.953e+08,1.056,2.841e+08,2.955e+08,3.069e+08
RetailStripmall,CM,1,2.599e+08,0,2.599e+08,0,2.599e+08,2.599e+08,2.599e+08
SmallHotel,CM,1,1.726e+08,0,1.726e+08,0,1.726e+08,1.726e+08,1.726e+08
SmallOffice,CM,5,1.155e+08,4.271e+07,1.081e+08,1.536,5.814e+07,1.396e+08,1.53e+08
Warehouse,CM,2,9.686e+08,4.083e+08,9.245e+08,1.545,6.798e+08,9.686e+08,1.257e+09
FullServiceRestaurant,CA,1,2275,0,2275,0,2275,2275,2275
MediumOffice,CA,6,4156,1529,3779,1.726,1285,4806,5384
MidriseApartment,CA,159,969.7,694.6,809.7,1.789,157,771.1,4688
Outpatient,CA,1,3764,0,3764,0,3764,3764,3764
PrimarySchool,CA,1,6338,0,6338,0,6338,6338,6338
QuickServiceRestaurant,CA,1,1429,0,1429,0,1429,1429,1429
RetailStandalone,CA,2,4135,597.2,4113,1.156,3713,4135,4557
RetailStripmall,CA,1,2521,0,2521,0,2521,2521,2521
SmallHotel,CA,1,2251,0,2251,0,2251,2251,2251
SmallOffice,CA,5,1490,631.6,1366,1.623,735.5,1721,2094
Warehouse,CA,2,2.413e+04,2.413e+04,1.707e+04,3.477,7070,2.413e+04,4.12e+04
FullServiceRestaurant,UM,1,851.4,0,851.4,0,851.4,851.4,851.4
MediumOffice,UM,6,2899,1735,2197,2.584,467.2,3660,4632
MidriseApartment,UM,159,390.4,246.3,334.3,1.727,84.77,312.2,1819
Outpatient,UM,1,3634,0,3634,0,3634,3634,3634
PrimarySchool,UM,1,6032,0,6032,0,6032,6032,6032
QuickServiceRestaurant,UM,1,636.4,0,636.4,0,636.4,636.4,636.4
RetailStandalone,UM,2,896,187.1,886.2,1.234,763.7,896,1028
RetailStripmall,UM,1,527.4,0,527.4,0,527.4,527.4,527.4
SmallHotel,UM,1,2535,0,2535,0,2535,2535,2535
SmallOffice,UM,5,1549,548.1,1460,1.489,820.2,1673,2101
Warehouse,UM,2,3097,1675,2862,1.768,1913,3097,4282
FullServiceRestaurant,UI,1,851.4,0,851.4,0,851.4,851.4,851.4
MediumOffice,UI,6,2899,1735,2197,2.584,467.2,3660,4632
MidriseApartment,UI,159,390.4,246.3,334.3,1.727,84.77,312.2,1819
Outpatient,UI,1,3634,0,3634,0,3634,3634,3634
PrimarySchool,UI,1,6032,0,6032,0,6032,6032,6032
QuickServiceRestaurant,UI,1,636.4,0,636.4,0,636.4,636.4,636.4
RetailStandalone,UI,2,896,187.1,886.2,1.234,763.7,896,1028
RetailStripmall,UI,1,527.4,0,527.4,0,527.4,527.4,527.4
SmallHotel,UI,1,2535,0,2535,0,2535,2535,2535
SmallOffice,UI,5,1549,548.1,1460,1.489,820.2,1673,2101
Warehouse,UI,2,3097,1675,2862,1.768,1913,3097,4282
